Date,Capex_Macro_Comp,Capex_Hyperscaler,Capex_Supply
1983-08-31,263.6363636363636,,263.6363636363636
1983-09-30,263.6363636363636,,263.6363636363636
1983-10-31,472.72727272727263,,472.72727272727263
1983-11-30,472.72727272727263,,472.72727272727263
1983-12-31,472.72727272727263,,472.72727272727263
1984-01-31,173.86363636363635,,173.86363636363635
1984-02-29,173.86363636363635,,173.86363636363635
1984-03-31,173.86363636363635,,173.86363636363635
1984-04-30,378.4090909090908,,378.4090909090908
1984-05-31,378.4090909090908,,378.4090909090908
1984-06-30,378.4090909090908,,378.4090909090908
1984-07-31,256.8181818181818,,256.8181818181818
1984-08-31,256.8181818181818,,256.8181818181818
1984-09-30,256.8181818181818,,256.8181818181818
1984-10-31,302.27272727272725,,302.27272727272725
1984-11-30,302.27272727272725,,302.27272727272725
1984-12-31,302.27272727272725,,302.27272727272725
1985-01-31,-25.0,,-25.0
1985-02-28,-25.0,,-25.0
1985-03-31,-25.0,,-25.0
1985-04-30,147.72727272727272,,147.72727272727272
1985-05-31,147.72727272727272,,147.72727272727272
1985-06-30,147.72727272727272,,147.72727272727272
1985-07-31,-47.72727272727273,,-47.72727272727273
1985-08-31,-47.72727272727273,,-47.72727272727273
1985-09-30,-47.72727272727273,,-47.72727272727273
1985-10-31,189.77272727272725,,189.77272727272725
1985-11-30,189.77272727272725,,189.77272727272725
1985-12-31,189.77272727272725,,189.77272727272725
1986-01-31,92.04545454545453,,92.04545454545453
1986-02-28,92.04545454545453,,92.04545454545453
1986-03-31,92.04545454545453,,92.04545454545453
1986-04-30,145.45454545454547,,145.45454545454547
1986-05-31,145.45454545454547,,145.45454545454547
1986-06-30,145.45454545454547,,145.45454545454547
1986-07-31,-39.77272727272727,,-39.77272727272727
1986-08-31,-39.77272727272727,,-39.77272727272727
1986-09-30,-39.77272727272727,,-39.77272727272727
1986-10-31,190.9090909090909,,190.9090909090909
1986-11-30,190.9090909090909,,190.9090909090909
1986-12-31,190.9090909090909,,190.9090909090909
1987-01-31,-56.81818181818181,,-56.81818181818181
1987-02-28,-56.81818181818181,,-56.81818181818181
1987-03-31,-56.81818181818181,,-56.81818181818181
1987-04-30,114.77272727272725,,114.77272727272725
1987-05-31,114.77272727272725,,114.77272727272725
1987-06-30,114.77272727272725,,114.77272727272725
1987-07-31,225.0,,225.0
1987-08-31,225.0,,225.0
1987-09-30,225.0,,225.0
1987-10-31,1.1363636363636365,,1.1363636363636365
